frequency	smiles	generic_name
1	C1CC([C@@H](Cc2ccc3)NCC4)[C@@]44c2c3O[C@H]4C1	C16H19NO
1	C=C(CC1)[C@H](CC2)C1C1[C@@H]2C(CCCC2)[C@H]2CC1	C18H28
1	O=C(c1ccc2)Oc3cccc4c3-c1c2OC4=O	C14H6O4
4	O=C(CC(C1)=CCCC1C1)C(CC2)[C@H]1C1[C@@H]2OC1	C16H22O2
1	O=C(CC(C1)=CCC[C@@H]1C1)C(CC2)[C@H]1C1[C@@H]2OC1	C16H22O2
1	O=C(C[C@@H]1CC2)OCC1[C@@H]1[C@@H]2[C@H](CCC2)C2CC1	C16H24O2
1	O=C1C=C2C=C[C@@H]([C@H](CCC3)C3CC3)[C@H]3[C@H]2CC1	C17H22O
3	O=C1C=C2C=C[C@@H]([C@H](CCC3)C3CC3)[C@H]3C2CC1	C17H22O
1	O=C1C=C2C=C[C@@H]([C@H](CCC3)C3CC3)[C@@H]3C2CC1	C17H22O
2	O=C(CC1)C=C2C1=C1C=CC(CCC3)[C@@H]3[C@@H]1CC2	C17H20O
1	O=C1C=C(CCC2C3CCC4C2CCC4)C3C=C1	C17H22O
18	O=C1C=C(CC[C@@H]2C3CCC4[C@H]2CCC4)C3C=C1	C17H22O
7	O=C1C=C(CC[C@@H]2[C@@H]3CCC4[C@H]2CCC4)C3C=C1	C17H22O
3	O=C(CC1)C=C(CC2)C1=C1[C@@H]2[C@H](CCC2)C2CC1	C17H22O
3	O=C(CC1)C=C(CC2)[C@H]1[C@@H]1[C@@H]2[C@H](CCC2)C2CC1	C17H24O
1	O=C(CC1)C=C(CC2)C1[C@@H]1[C@@H]2C(CCC2)C2CC1	C17H24O
1	O=C(CC1)C=C(CC2)C1C1[C@@H]2[C@H](CCC2)C2CC1	C17H24O
9	O=C(CC1)C=C(CC2)C1[C@@H]1[C@@H]2[C@H](CCC2)C2CC1	C17H24O
2	O=C(CC1)CC(CC2)=C1[C@@H]1[C@@H]2[C@H](CCC2)C2CC1	C17H24O
1	O=C(CC1)C=C(CC2)[C@H]1[C@@H]1[C@@H]2[C@@H]2C=CCC2CC1	C17H22O
1	O=C(CC1)C(CC[C@@H]23)[C@@H]1C3=CCc1c2cccc1	C17H18O
2	O=C(CC1)C(CC2)[C@@H]1[C@H](CC1)[C@H]2c2c1cccc2	C17H20O
1	O=C(CC1)C(CC2)[C@@H]1[C@H]1[C@H]2C(CCCC2)C2=CC1	C17H24O
1	O=C(CC1)C(CC2)[C@@H]1[C@H]1[C@H]2C(CCCC2)[C@@H]2CC1	C17H26O
2	O=C(CC1)C(CC2)[C@@H]1[C@H]1[C@H]2C(CCCC2)[C@H]2CC1	C17H26O
2	O=C1[C@@H]2C(CCCC3)[C@H]3CC[C@H]2[C@H](CCC2)C2C1	C17H26O
1	C([C@H](CC1)C=CC2)N2Cc2c1[nH]c1c2cccc1	C16H18N2
1	N=C(CC1)C=C(CC2)[C@H]1[C@@H]1[C@@H]2[C@H](CCC2)C2CC1	C17H25N
2	O=C1N[C@H](CC[C@@H]2[C@@H]3CCC4[C@H]2CCC4)C3C=C1	C16H23NO
1	C([C@@H]12)NC[C@H]2c(cccc2)c2Oc2c1cccc2	C16H15NO
1	O=C(CCCCOC(CCCCCC1)=O)[C@]11OC1	C14H22O4
1	O=C1OCC[C@@H](C2)OCN[C@H]2CCCCCCC1	C14H25NO3
1	O=C(CC(CCC1)[C@@H]1[C@@H]1CC2)[C@@H]1C(C=C1)C2=CC1=O	C17H20O2
1	O=C(CC(CCC1)[C@@H]1[C@@H]1CC2)[C@@H]1C(CC1)C2=CC1=O	C17H22O2
1	O=C(CC1)C(CC2)[C@@H]1[C@H](CC1)[C@H]2C(CC2)C1=CC2=O	C17H22O2
1	C=C(CC1CC[C@@H]2C3CC4)C[C@H]1[C@@H]2C=CC3=CC4=O	C18H22O
1	C=C(CC([C@@H](CC1)C2)[C@@H]3[C@@H]1[C@H](CCC1)C1CC3)C2=O	C18H26O
1	C(C1)NCC(c2c(C3)cccc2)N1c1c3cccc1	C17H18N2
2	C(C[C@H](C1)CC2)CN1CCc1c2[nH]c2c1cccc2	C17H22N2
1	C(C1)NCC2N1c1ncccc1Cc1c2cccc1	C16H17N3
1	O=C(CN1)N(Cc2c(C3)c(cccc4)c4[nH]2)[C@H]3C1=O	C14H13N3O2
1	O=C1OCC/C=C/C=C/CC/C=C/CC/C=C/C=C1	C17H22O2
